Botok lamtoro,1,186,11.7,9.7,13,Sajikan
Bubur kacang ijo,1,106,3.9,3.6,14.6,Sajikan
Bubur kacang ijo (Menu Pgln),1,204,5.9,0,0,Sajikan
Emping goreng asin,1,431,11.1,16.2,63,Sajikan
Emping goreng manis,1,439,10,16.4,65.7,Sajikan
Emping goreng tipis,1,485,11.5,24.5,59.1,Sajikan
Goreng oncom,1,109,2.2,5.8,12.1,Sajikan
Kacang atom,1,533,27.8,38.1,28.8,Sajikan
Kacang babi bogor goreng,1,479,12.7,23.2,58.9,Sajikan
Kacang babi bogor rebus,1,161,7.7,2.8,27.1,Sajikan
Kacang babi kecipir rebus,1,204,16.9,8.8,17.5,Sajikan
Kacang gude rebus,1,147,9,0.5,27.5,Sajikan
Kacang hijau rebus,1,109,8.7,0.5,18.3,Sajikan
Kacang kapri goreng,1,89,3.8,2.2,13.1,Sajikan
Kacang kedelai goreng,1,521,32.2,37.7,22.9,Sajikan
Kacang kedelai rebus,1,189,20.2,8.2,12.7,Sajikan
Kacang kulit,1,628,30.7,50.5,12.7,Sajikan
Kacang merah kering rebus,1,158,10.3,0.9,28.2,Sajikan
Kacang merah segar rebus,1,144,10,1,24.7,Sajikan
Kacang sari,1,561,25.5,43.8,26,Sajikan
Kacang sukro (DKBM P3G '90),1,484,8.8,26.1,57.7,Sajikan
Kacang sukro putih,1,122,1.3,6.4,14.9,Sajikan
Kacang tanah goreng,1,564,25.5,44.4,25.5,Sajikan
Kacang tanah rebus,1,77,2.8,6.2,2.6,Sajikan
Kacang tanah rebus,1,220,10.6,18,8,Sajikan
Kacang tanah sangan,1,560,29.5,43,24.1,Sajikan
Kacang telur,1,187,2.5,5.2,31.2,Sajikan
Kacang tolo rebus,1,138,10.7,1.1,22.6,Sajikan
Kembang tahu rebus,1,90,10.7,4,4.7,Sajikan
Kripik abadi besar,1,556,15.8,37.1,39.8,Sajikan
Kripik murni,1,542,40.3,42.4,11.6,Sajikan
Kripik murni,1,540,16.7,33.9,42,Sajikan
Kripik oncom,1,598,8.3,43.8,42.6,Sajikan
Kripik sedang,1,510,12.3,27.9,52.4,Sajikan
Kripik telur,1,529,20.8,31.7,40.2,Sajikan
Kripik tempe,1,581,12.1,40.6,41.7,Sajikan
Kripik tempe goreng,1,542,40.3,42.4,11.5,Sajikan
Noga kacang tanah,1,180,4.2,12.5,12.6,Sajikan
Oncom hitam goreng,1,71,3,3.6,3.4,Sajikan
Oncom hitam tepung,1,92,2.7,5.4,8.1,Sajikan
Oncom merah bertepung,1,96,2.8,5.6,9.3,Sajikan
Oncom merah goreng,1,92,1.7,8,3.3,Sajikan
Oncom merah sayur (tumis),1,4,0.2,0.2,0.3,Sajikan
Pepes oncom,1,132,12.7,3.8,13.7,Sajikan
Pepes oncom / ampas tahu,1,76,5.2,1.8,10.6,Sajikan
Pepes taoco,1,184,11.4,5.5,22.2,Sajikan
Rempeyek,1,513,17.5,32.5,44.3,Sajikan
Rempeyek kacang tanah,1,513,17.5,32.5,44.3,Sajikan
Rempeyek kacang tolo,1,451,11.2,20.2,59.7,Sajikan
Rempeyek kacang uci,1,497,17,27.6,50.8,Sajikan
Tahu goreng,1,32,1.4,2.8,0.3,Sajikan
Tahu goreng (DKBM P3G '90),1,115,9.7,8.5,2.5,Sajikan
Tahu goreng (Menu Pgln),1,143,9.6,0,0,Sajikan
Tauco,1,158,11.3,5.4,18.1,Sajikan
Tauco cap beruang,1,347,7.4,5.2,67.6,Sajikan
Tauco cap das,1,358,7.5,4.3,70.4,Sajikan
Tauco cap meong,1,159,7.4,4.9,21.3,Sajikan
Tauji cap singa,1,277,9.1,4.7,49.6,Sajikan
Tempe goreng,1,82,4.6,5.8,3.2,Sajikan
Tempe goreng (Menu Pgln),1,335,23.3,0,0,Sajikan
Tempe murni goreng,1,350,24.5,26.6,10.4,Sajikan
Tempe pasar goreng,1,336,20,28,7.8,Sajikan
Tempe sayur,1,36,0.9,0.4,7.4,Sajikan
Abon sapi,1,212,18,10.6,59.3,Sajikan
Abon sapi asli,1,358,14.6,16.1,38.6,Sajikan
Ati ayam (buras),1,112,18.3,3.2,2.6,Sajikan
Ati ayam (ras),1,105,16.6,3.4,2.1,Sajikan
Ayam goreng (Menu Pgln),1,595,30.5,0,0,Sajikan
Ayam goreng buras mbok berek,1,295,39.2,13.6,1,Sajikan
Ayam paha lengkap kalasan,1,275,37.4,12.2,1.3,Sajikan
Ayam paha pasundan,1,245,33.1,11.4,0.3,Sajikan
Ayam paha sukabumi,1,283,35.7,14.3,0.5,Sajikan
Ayam pasundan,1,246,37.9,9,0.7,Sajikan
Ayam ras dada church toxas,1,338,35.2,20.6,0.4,Sajikan
Ayam ras dada kentucky,1,298,34.2,16.8,0.1,Sajikan
Ayam ras dada pioner,1,295,37.4,14.7,0.6,Sajikan
Ayam ras paha church,1,287,31,15.7,1.7,Sajikan
Ayam ras paha kentucky,1,286,32.1,16.7,1.1,Sajikan
Ayam sayap church,1,295,34,16,1.5,Sajikan
Ayam sayap kentucky,1,297,35.9,15.2,1.6,Sajikan
Ayam sukabumi,1,244,36.7,9.2,1,Sajikan
Babi lawar,1,174,17,10,3,Sajikan
Ceker ayam (buras),1,197,20.6,11.5,2.7,Sajikan
Ceker ayam (ras),1,245,20.8,17.1,2.1,Sajikan
Daging puyuh (goreng),1,187,25.6,8.2,2.8,Sajikan
Dendeng bekicot,1,441,48.7,20.3,15.8,Sajikan
